Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
LABOUR,LABOUR,,DDC5C932,,,20814,"$34,667.13","$31,529.04","$9,192.12",$0.00,"$2,386.50","$1,896.25","$29,632.79",93.99
LABOUR - WARRANTY,WARRANTY-LABOUR,"FIRST COMPLIMENTARY SERVICE, HUBTIGER 000519, V8S48V61070036, V9S52V6121030053",FFDBA625,,,2061,$135.00,$150.00,"$2,965.50",$0.00,$0.50,$0.00,$150.00,100
"ZERO Inner Tubes E-Scooters / 8 x 2.5"" Bent Valve",ZER-INNER-TUBE-8x2.5-BNT,,11A46167,Zero,Falcon PEV Pte Ltd,715,"$10,769.62","$9,790.55",$92.97,$0.00,$1.05,"$6,177.62","$3,612.93",36.9
"ZERO Inner Tubes E-Scooters / 10 x 2"" Bent Valve",ZER-INNER-TUBE-10x2-BNT,,29126AF8,Zero,Falcon PEV Pte Ltd,393,"$6,674.77","$6,067.97",$160.36,$0.00,$0.00,"$3,684.46","$2,383.51",39.28
ZERO 8 Electric Scooter / 48V 10.4AH,ZERO-8-48V10.4,"F8410210417003, F8410210417026, F8410210417003, F8410210417026, F8410210417012, F8410210417050, F8410210417068, F8410210417042, F8410210417090, F8410210417036, F8410210417072, F8413210417033, F8410210417040, F8410210417073, F8410210417065, F8410210417022, SINC, F84102104052, F8410210417011, F8410210417030, F8410210417084, F8410210417091, F8410210417009, F8410210417098, F8410210417080, F8410210417028, F8410210417067, F8410210417032, F8410210417023, F8410210417062, F8410210417035, F8410210417060, F8410210417016, F8410210417082, F8410210417078, F8410210417061, F8410210417064, F8410210417021, F8410210417017, F8410210417033, F8410210417031, F8410210417076, F8410210417025, F8410210417057, F8410210417087, F8410210417075, taking deposit, F8410210417042, F8410210417041, F8410210805087, F8410210805167, F8410210805071, F8410210805090, F8410210805050, F8410210805044, F8410210805172, F8410210805006, F8410210805007, F8410210805037, F8410210805029, F8410210805176, F8410210805022, F8410210805180, F8410210805085, F8410210805089, F8410210805053, F8410210805068, F8410210805055, F8410210805114, F8410210805074, F8410210805067, F8410210805010, F8410210805016, F8410210805062, F8410210805196, F8410210805048, F8410210805051, F8410210805105, F8410210805137, F8410210805097, F8410210805063, f8410210805041, f8410210805045, F8410210805082, F8410210805106, F8410210805170, F8410210805015, F8410210805100, F8410210805040, F8410210805025, F8410210805011, F8410210805117, F8410210805171, F8410210805120, F8410210805018, F8410210805002, F8410210805161, F8410210805156, F8410210805181, F8410210805124, F8410210805121, F8410210805190, F8410210805178, F8410210805039, F8410210805123, F8410210417049, F8410210417039, F841021085054, F841021085033, F841021085128, F841021085061, F8410210805155, F8410210805054, F8410210805145, F8410210805169, F8410210805086, F8410210805112, F8410210805136, F8410210805193, F8410210805130, F8410210805125, F8410210805141, F8410210805115, F841020805109, F8410210805115, F841020805109, F8410210805179, F8410210805168, F8410210805031, F8410210805154, F8410210805008, F8410210805013, F8410210805046, F8410210805150, F8410210805082, F8410210805005, F8410210805187, F8410210805186, F8410210805047, F8410210805143, F8410210805056, F8410210805177, F8410210805198, F8410210805133, F8410210805021, shopify order 1002, F8410210805151, F8410210805127, F8410210805049, F8410210805146, F8410210805027, F8410210805173, F8410210805043, F84102108050092, F8410210805104, F8410210805163, F8410210805165, F8410210805149, F8410210805065, F8410210805138, F8410210805188, F8410210805014, F8410210805148, F8410210805102, F8410210805080, F8410210805017, f8410210805022, f8410210805128, f8410210805022, F8410210805152, F8410210805200, F8410210805184, F8410210805079, F8410210805139, F8410210805052, F8410210805126, F8410210805066, F8410210805009, F8410210805078, F8410210805195, F8410210805166, F8410210805075, F8410210805070, F8410210805197, F8410210805032, F8410210805119, F8410210805147, F8410210805084, F8410210805076, F8410210805191, F8410210805038, F8410210805108, F8410210805140, F8410210805183, F8410210805094, F8410210805131, F8410210805073, F8410210805096, F8410210805030, F8410210805003, F8410210805162, F8410210805098, SN, preorder, SN., SN, F8410210805110, F8410210805107, F8410210805035, F8410210805088, F8410210805001, F8410210805103, F8410210805145, F8410210805145, Border 7, Border 6, Border 5, F8410210805052, F8410210805004, F8410210805160, F8104, F8410210805200, F8410210805079, CTP2, 4, 3, 2, 1, F8410210805012, F8410210805064, F8410210805079, F8410210805184, F8410210805111, F8410210805189, F8411021080513, F810210805118, F8410210805019, F8410210805129, F8410210805158, F8410210805057, F8410211022004, F841021122026, F841021122009, F841021122008, F841021122011, F841021122007, F8410211022013, F4410211022017, F8410211022023, F8410211022027, F4410211022014, F8410210805134, F8410218005034, TBA, F8410211022030, F8410211022019, F8410211022025, F8410211022001, F8413211022010, F8410211022012, F8410211022021, F8410211022016, F8410210805181, F8410210805139, F8410210805192, F8410210805091, F8410211022029, F8410211022019, F8410210805024, F8410211022018, F8410211022020, F8410210805028, F8410210805060, TO BE ADVISED, F8410220328042, F8410220328028, F8410220328004, F8410220328026, F8410220328031, F8410220328012, F8410220328040, F8410220328032, F8410220328013, F8410220328025, F8410220328039, F8410220328035, F8410220328050, F8410220328044, F8410220328038, F8410220328034, F8410220328049, F8410220328041, F8410220328021, F8410220328022, F8410220328019, F8410220328017, F8410220328036, F8410220328023, F8410220328029, F8410220328037, F8410220328001, F8410220328047, F8410220328011, F8410220328033, F8410220328030, F8410220328008, F8410220328020, F8410220328024, F8410220328006, F8410220328003, F8410220328016, F8410220328014, F8410220328002, F8410220328027, F841022032009, F841022032010, F8410220328015, F8410220328018, F8410220328046, F8410220328048, F8410220328043, F8410220328045, F8410220328007, F8410220630075, F8410220630036",26D43F74,Zero,Falcon PEV Pte Ltd,320,"$249,627.35","$226,933.96","$1,645.15",$0.00,$27.00,"$176,594.72","$50,339.24",22.18
"ZERO Inner Tubes E-Scooters / 10 x 2.5"" Bent Valve",ZER-INNER-TUBE-10x2.5-BNT,,B9354155,Zero,Falcon PEV Pte Ltd,273,"$4,834.26","$4,395.80",$266.31,$0.00,$0.00,"$2,799.75","$1,596.05",36.31
VSETT 9+ Electric Scooter / 48V 19.2 LG,VSETT-9+-19.2-LG,"V9P48V612030046, PRE ORDER 2, PRE ORDER, $200 deposit paid, V9P48V6121070007, PRE ORDER, V9P48V6121070016, V9P48V6121070002, V9P48V6121070003, V9P48V6121070001, V9P48V6121070014, V9P48V6121070004, V9P48V6121070009, V9P48V6121070018, V9P48V6121070008, V9P48V6121070005, V9P48V6121070011, V9P48V6121070017, V9P48V6121070007, V9P48V6121070019, V9P48V6121070015, V9P48V6121070012, V9P48V6121070010, PRE ORDER, V9P48V6121030055, deposit, deposit 250, deposit 2, pre order, ON PRE ORDER, pre order, pre order, V948V6121100030, V948V6121100019, V948V6121100006, V948V6121100004, V948V6121100026, V948V6121100036, pre order, V9P48V6121100023, V9P48V6121100024, V9P48V6121100039, V9P48V6121100029, V9P48V6121100021, V9P48V6121100005, V9P48V6121100003, V9P48V6121100027, V9P48V6121100028, V9P48V6121100017, V9P48V6121100002, VP948V6121100012, VP948V6121100013, VP948V6121100007, VP948V6121100035, VP948V6121100009, VP948V6121100011, VP948V6121100010, VP948V61211000008, VP948V6121100031, VP948V6121100034, V9P48V6121100032, V9P48V6121100037, V9P48V6121100014, V9P48V6121100001, V9P48V6121100022, TBA2, TBA, V9P48V61210040, V9P48V61210038, V9P48V6121100033, Pre -order, V9P48V6121120002, V9P48V6121120041, V9P48V4421070098, V9P48V4421070014, V9P48V6121120036, V9P48V612112019, V9P48V612112014, V9P48V612112015, V9P48V4421070089, V9P48V4421070003, V9P48V4421070020, V9P48V4421070036, V9P48V4421070008, V9P48V6121120005, V9P48V6121120001, V9P48V4421070088, V9P48V4421070028, V9P48V61211120016, V9P48V61211120033, V9P48V61211120025, V9P48V61211120010, V9P48V4421070011, V9P48V4421070027, V9P48V6121120037, V9P48V6121120026, V9P48V612112000042, V9P48V6121120022, V9P48V6121120049, V9P48V6121120023, V9P48V6121120032, V9P48V6121120034, V9P48V6121120038, V9P48V6121120018, V9P48V6121120048, V9P48V6121120023, V9P48V6121120007, V9P48V6121120003, TBA, pre order, v9p48v6121120020, V9P48V4421070088, V9P1, V9P2, V9P3, V9P4, V9P5, V9P48V6121120039, V9P48V6121120043, V9P48V6121120006, V9P48V4421070088, V9P48V612201044, V9P48V612201045, V948V612201067, V948V612201062, V948V612201068, V948V612201041, V9P48V612201051, V9P48V612201066, V9P48V612201072, V9P48V612201058, V9P48V612201064, V9P48V4421070088, V9P48V6121120046, V9P48V6121120050, V9P48V6121120045, V9P48V612201061, V9P48V6121120012, V9P48V6121120029, V9P48V6121120011, V9P48V6121120044, V9P48V6121120031, V9P48V612201071, V9P48V612201047, V9P48V612201059, V9P48V612201048, V9P48V612201078, V9P48V612201053, V9P48V612201073, V9P48V612201077, V9P48V4421070028, V9P48V612201069, V9P48V612201057, V9P48V612201050, V9P48V612202054, V9P48V612202058, V9P48V612202036, V9P48V612201056, V9P48V612201043, V9P48V612201055, V9P48V612202043, V9P48V6121120076, V9P48V612201052, V9P48V612201042, V9P48V612201060, V9P48V612201074, V9P48V612201065, V9P48V612202047, V9P48V612202044, V9P48V612202059, V9P48V612202057, V9P48V612201079, V9P48V612202032, V9P48V612202039, V9P48V612202034, V9P48V612202049, V9P48V612202035, V9P48V612202038, V9P48V612202040, V9P48V612202037, V9P48V612202042, V9P48V612202031, V9P48V612202050, V9P48V612202056, V9P48V612202041, V9P48V612202060, TBC, v9448v612201076, V9P48V612202051, V9P48V612202055, V9P48V612202053, V9P48V612201080, TBA, TBA1, V9P48V612201080, V9P48V612201063, V9P48V612202048, V9P48V612202046, V9P48V6121120009, V9P48V612201070, V9P48V6121120040, V9P48V6121120040",02BBEC66,VSETT,Ningbo Vsett,201,"$345,462.38","$314,056.71","$6,779.12",$0.00,$0.00,"$287,248.49","$26,808.22",8.54
VSETT 10+ Electric Scooter / 60V 25.6 LG,VSETT-10+-25.6-LG,"V10P60V6121030034, V10P60V6121030034, V10P60V6121030034, Vsett 10+, V10P60V6121030024, V10P60V6121070047, V10P60V6121070097, V10P60V6121070084, V10P60V6121070060, V10P60V6121070042, V10P60V6121070092, V10P60V6121070095, V10P60V6121070072, V10P60V6121070041, V10P60V6121070079, V10P60V6121070056, V10P60V6121070080, V10P60V6121070044, V10P60V6121070094, V10P60V6121070099, V10P60V6121070077, V10P60V6121070075, V10P60V6121070048, V10P60V6121070065, V10P60V6121070098, V10P60V6121070066, V10P60V6121070088, V10P60V6121070096, V10P60V6121070090, V10P60V6121070063, V10P60V6121070087, V10P60V6121070086, V10P60V6121070070, V10P60V6121070093, V10P60V6121070082, V10P60V6121070085, V10P60V6121070049, V10P60V6121070071, V10P60V6121070076, V10P60V6121070053, V10P60V6121070052, V10P60V6121070045, V10P60V6121070068, V10P60V6121070059, V10P60V6121070055, V10P60V6121070061, V10P60V6121070066, V10P60V6121070054, V10P60V6121070081, V10P60V6121070069, V10P60V6121070074, V10P60V6121070051, V10P60V6121070067, V10P60V6121070078, V10P60V6121070057, V10P60V6121070073, V10P60V6121070064, V10P60V6121070089, V10P60V6121070058, V10P60V612070100, V10P60V6121070091, V10P60V6121070043, V10P60V6121070062, v10+25.6 per order, V10+preorder25.6, pre porder, V10P60V6121070046, V10P60V612110101, V10P60V612110087, V10P60V6121100112, V10P60V6121100117, V10P60V6121100107, V10P60V6121100128, V10P60V6121100095, V10P60V6121100088, V10P60V6121100067, V10P60V61211000132, V10P60V6121100098, V10P60V61211000102, V10P60V61211000099, V10P60V61211000094, V10P60V61211000086, V10P60V61211000124, V10P60V61211000142, V10P60V61211000143, V10P60V61211000130, V10P60V61211000134, V10P60V61211000131, V10P60V61211000120, V10P60V61211000125, V10P60V61211000121, V10P60V61211000133, V10P60V61211000123, V10P60V61211000126, V10P60V61211000091, V10P60V61211000127, V10P60V61211000093, V10P60V61211000129, V10P60V61211000109, V10P60V61211000053, V10P60V61211000066, V10P60V6121100137, V10P60V6121100055, V10P60V6121100062, V10P60V6121100070, V10P60V6121100145, V10P60V6121100138, V10P60V6121100092, V10P60V6121100112, V10P60V6121100140, V10P60V6121100136, V10P60V6121100135, V10P60V6121100105, V10P60V6121100100, V10P60V6121100103, V10P60V6121100115, V10P60V6121100090, V10P60V6121100108, V10P60V6121100097, V10P60V6121100104, V10P60V6121100085, V10P60V6121100122, V10P60V6121100118, V10P60V6121100111, V10P60V6121100119, pre order, PRE ORDER, V10P60V6121100116, V10P60V6121100096, V10P60V6121100077, V10P60V6121100144, V10P60V6121100072, V10P60V6121100069, V10P60V6121100068, V10P60V6121100089, V10P60V6121100065, V10P60V61211100106, V10P60V61211100113, V10P60V61211100114, V10P60V61211100080, V10P60V6121100141, V10P60V6121100084, V10P60V6121100056, V10P60V6121100063, V10P60V6121100052, V10P60V6121100076, V10P60V6121100060, V10P60V6121100061, V10P60V6121100079, V10P60V6121100071, V10P60V6121120066, V10P60V6121120091, V10P60V6121120093, V10P60V6121120067, V10P60V6121120090, V10P60V6121120078, V10P60V6121120057, V10P60V612201042, V10P60V612201063, V10P60V612201050, TBA, TBA, 19, 18, 17, V10P60V612201053, V10P60V6121100035, V10P60V612110074, V10P60V612110099, V10P60V612110069, V10P60V612110083, V10P60V612110079, V10P60V612110064, TBA, V10P60V6121120084, V10P60V6121120089, V10P60V6121120086, V10P60V6121120067, V10P60V612202026, V10P60V6121120109, V10P60V6121120060, V10P60V612201046, V10P60V6121120104, V10P60V6121120082, V10P60V6121120106, TBA, TBA, TBA, V10P60V6121120107, V10P60V6121120105, V10P60V612202047, V10P60V6121120070, V10P60V6121120100, V10P60V6121120094, V10P60V6121120058, V10P60V6121120065, V10P60V6121120076, V10P60V6121120059, V10P60V6121120075, V10P60V6121120061, V10P60V6121120085, V10P60V",769728F9,VSETT,Ningbo Vsett,200,"$600,873.42","$546,248.56","$17,971.83",$0.00,$0.00,"$451,762.35","$94,486.21",17.3
ZERO 9 Electric Scooter / 48V 13AH,ZERO-9-48V13,"F9413210519068, F9413210519073, F9413210417021, F9413210417026, F9413210519063, F9413210417042, F9413210519077, F9413210417014, F9413210417028, T9413210519062, F9413210519076, F9413210417016, F9413210417018, F9413210417022, F9413210417004, F9413210417031, F9413210519067, F9413210417024, F94132104170254, F9413210417011, F9413210417006, F9413210417020, F9413210417003, F9413210417032, F9413210417035, SINC, Z91, Z92, Z93, Z94, F941320519074, SINC, zero 9, pre order - jennifer Lanzon, F94131210417011, SN, SN, F9413210417016, F9413210417024, pre order 1- janine Forster, pre order 2- janine Forster, PREORDER, F9413210805039, F9413210805028, F9413210805034, F9413210805032, F9413210805008, F9413210805007, F9413210805024, F9413210805013, F9413210805006, F9413210805023, F9413210805037, F9413210805043, F9413210805011, F9413210805040, F9413210805044, F9413210805016, F9413210805041, F9413210805050, F9413210805003, F9413210805042, F9413210805001, F9413210805031, F9413210805033, F9413210805025, F9413210805021, F9413210805036, F9413210805004, F9413210805010, F9413210805012, F9413210805022, F9413210805029, F9413210805045, F9413210805015, F9413210805027, F9413210805035, F9413210805002, F9413211022014, sn, F9413211022025, F9413211022060, F9413211022029, F9413211022061, F9413211022046, F9413211022052, F9413211022038, F9413211022074, F9413211022057, F9413211022027, F9413211022049, F9413211022044, F9413211022002, F9413211022059, F9413211022026, F9413211022008, F9413211022028, F9413211022004, F9413211022055, F9413211022005, F9413211022073, F9413211022050, F9413211022040, F9413211022022, F9413211022048, F9413211022066, F9413211022023, F9413211022072, F9413211022075, F9413211022065, F9413211022051, F9413211033047, F9413211022058, F9413211022034, F9413211022053, F9413211022016, F9413211022035, F9413211022041, F9413211022011, F9413211022013, F9413211022007, F9413211022020, F9413211022069, F9413211022001, F9413211022024, 11, 10, F9413211022006, F9413211022032, F9413211022037, F9413211022039, F9413211022003, F9413211022012, F9413211022036, F9413211022064, F9413211022036, F9413211022064, F9413211022018, F9413211022054, F94132110220062, F94132110220009, F9413211022063, preorder 2, pre order, TBA2, TBA, Pre Order, Pre Order, TBA, F9413220328017, F9413220328030, F9413220328019, F9413220328011, F9413220328007, F9413220328026, F9413220328016, F9413220328010, Pre Order, F9413220328002, F9413220328024, F9413220328009, F9413220328005, F9413220328021, F9413220328012, F9413220328029, F9413220328013, F9413220328018, F9413220328008, F9413220328025, F9413220328023, TBA, F9413220328028, F9413220328004, F9413220328014, F9413211022010",65792BC9,Zero,Falcon PEV Pte Ltd,186,"$198,705.75","$180,051.15","$2,717.50",$0.00,$118.09,"$121,650.13","$58,401.02",32.44
VSETT 8 Electric Scooter / 48V 15.6,VSETT-8-15.6,"V8S48V6121070037, V8S48V6121070034, V8S48V6121070026, V8S48V6121070047, V8S48V6121030020, V8S48V6121070048, V8S48V6121070050, V8S48V6121070010, V8S48V6121070001, V8S48V6121030014, V8S48V6121070013, V8S48V6121070038, V8S48V6121070011, V8S48V6121030018, V8S48V6121030006, V8S48V6121070041, V8S48V6121030010, V8S48V6121070012, V8S48V6121070042, V8S48V6121070039, V8S48V6121030004, V848V6121070002, V848V6121070022, V8S48V6121030025, V8S48V6121030017, V8S48V6121030016, V8S48V6121030012, V8S48V6121070005, V8S48V6121070040, V8S48V6121070015, V8S48V6121070045, V8S48V6121070017, V8S48V6121070043, V8S48V6121070023, V8S48V6121070031, V8S48V6121070031, V8S48V6121070047, V8S48V6121070018, V8S48V6121030007, V8S48V6121030013, V8S48V6121030003, V8S48V6121070028, V8S48V6121070025, V8S48V6121070044, V8S48V6121070014, V8S48V6121070029, V8S48V6121070049, V8S48V6121030005, V8S48V6121070036, V8S48V6121070021, V8S48V6121070007, V8S48V6121070020, V8S48V6121070046, V8S48V6121070004, V8S48V6121070035, V8S48V612107006, V8S48V612130015, V8S48V6121070009, V8S48V6121070003, V8S48V6121070030, V8S48V6121070016, V8S48V6121030002, V8S48V6121070024, V8S48V6121070027, V8S48V6121030022, V8S48V6121030023, V8S48V6121030009, V8S48V6121070033, V8S48V6121070008, V8S48V612070028, 1, V815.6, V8S48V6121030008, Customer to provide, VS48V6121030001, CTP 1, V8S48V6121030011, tba, V8S48V612201016, V8S48V612201014, V8S48V612201017, V8S48V612201034, V8S48V612201020, V8S48V612201002, V8S48V612201007, V8S48V612201038, V8S48V612201035, V8S48V612201040, V8S48V612201030, V8S48V612201021, V8S48V612201018, V8S48V612201003, V8S48V612201022, V8S48V612201009, V8S48V612201008, V8S48V612201037, V8S48V612201028, V8S48V612201023, V8S48V612201011, V8S48V4721120030, V8S48V4721120023, V8S48V6121030052, V8S48V612201039, V8S48V612201019, V8S48V612201001, V8S48V612201019, V8S48V612201012, V8S48V612201031, V8S48V612201032, V8S48V612201036, V8S48V612201004, V8S48V612201006, V8S48V612201029, V8S48V612201026, V8S48V612201027, V8S48V612201025, V8S48V612201024, TBA, V8S48V612201039, V8S48V612202008, V8S48V612202014, V8S48V612202010, V8S48V612202006, V8S48V612202001, V8S48V612202015, V8S48V612202011, V8S48V612202009, V8S48V612202003, V8S48V612202018, V8S48V612202005, V8S48V612202002, V8S48V612202004, V8S48V612202013, V8S48V612202020, V8S48V612202012, V8S48V612202012, V8S48V612202012, V8S48V612202020, v8s48v612201027, V8S48V612202017, V8S48V612201025, V8S48V512202007, PREORDER, PRE ORDER, V8S48V612205026, V8S48V612205074, V8S48V612205061, V8S48V612205064, V8S48V612205018, V8S48V612205011, V8S48V612205093, V8S48V612205054, V8S48V612205076, V8S48V612205035, V8P48V612205038, V8P48V612205046, V8S48V612205039, V8S48V612205055, V8S48V612205043, V8S48V612205073, V8S48V612205031, V8S48V612205029, V8S48V612205048, V8S48V612205085, V8S48V612205094, V8S48V612205087, V8S48V612205030, V8S48V612205077, V8S48V612205014, V8S48V612205051, V8S48V612205016, V8S48V612205010, REQUIRED, V8S48V612205098, V8S48V612205019, V8S48V612205095, V8S48V612205020, V8S48V612205083, V8S48V612205012, V8S48V612205023, V8S48V612205042, V8S48V612205045, t, V8S48V612205004, V8S48V612205030",6024CC6A,VSETT,Ningbo Vsett,184,"$211,714.26","$192,467.52","$2,267.99",$0.00,$0.00,"$150,284.65","$42,182.87",21.92
